Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;V-Mag;NGC;IC;Common names
NGC1906;G;05:24:47.10;-15:56:35.9;Lep;1.03;0.74;154;;;;
NGC1907;OCl;05:28:04.55;+35:19:32.4;Aur;5.40;;;8.20;;;
NGC1908;Other;05:25:53.80;-02:31:44.0;Ori;;;;;;;
NGC1909;RfN;05:04:55.44;-07:15:56.3;Eri;180.00;60.00;;;;2118;the Witch Head Nebula
NGC1910;HII;05:18:43.07;-69:13:54.9;Dor;3.60;2.80;120;9.65;;;
NGC1911;OCl;05:19:26.88;-66:41:03.3;Dor;0.60;0.60;;;;;
NGC1912;OCl;05:28:42.49;+35:51:17.7;Aur;9.60;;;6.40;;;
NGC1913;OCl;05:18:19.29;-69:32:11.3;Dor;1.30;1.10;150;11.14;;;
NGC1914;Cl+N;05:17:39.76;-71:15:21.1;Men;1.50;1.20;150;12.01;;;
NGC1915;*Ass;05:19:42.24;-66:49:17.5;Dor;0.60;0.55;140;;;;
NGC1916;GCl;05:18:36.47;-69:24:24.5;Dor;2.10;2.10;;10.38;;;
NGC1917;GCl;05:19:01.97;-68:59:56.3;Dor;1.70;1.70;;12.33;;;
NGC1918;SNR;05:19:06.99;-69:39:44.8;Dor;3.90;1.70;120;;;;
NGC1919;Neb;05:20:19.05;-66:53:28.1;Dor;1.40;1.20;50;;;;
NGC1920;HII;05:20:33.50;-66:46:43.4;Dor;1.20;1.10;100;12.54;;;
NGC1921;OCl;05:19:22.75;-69:47:15.9;Dor;1.00;0.90;20;12.95;;;
NGC1922;OCl;05:19:48.92;-69:26:53.7;Dor;1.00;0.90;30;11.51;;;
NGC1923;Cl+N;05:21:34.06;-65:29:12.2;Dor;0.95;0.85;80;11.24;;;
NGC1924;G;05:28:01.93;-05:18:38.7;Ori;1.60;1.15;133;;;;
NGC1925;*Ass;05:21:43.96;-65:47:37.0;Dor;6.00;6.00;;;;;
NGC1926;GCl;05:20:35.43;-69:31:31.0;Dor;1.40;1.20;120;11.79;;;
NGC1927;Other;05:28:42.98;-08:22:38.4;Ori;;;;;;;
NGC1928;OCl;05:20:56.50;-69:28:40.6;Dor;1.30;1.30;;12.47;;;
NGC1929;OCl;05:21:36.03;-67:54:43.4;Dor;1.20;1.10;90;;;;
NGC1930;G;05:25:56.80;-46:43:42.5;Pic;1.97;1.18;36;;;;
NGC1931;Cl+N;05:31:25.35;+34:14:47.6;Aur;4.80;;;10.10;;;
NGC1932;*;05:22:17.24;-66:09:15.6;Dor;;;;13.80;;;
NGC1933;OCl;05:22:27.32;-66:09:07.8;Dor;1.30;1.30;;13.80;;;
NGC1934;Cl+N;05:21:47.89;-67:56:13.8;Dor;1.90;1.30;150;10.50;;;
NGC1935;HII;05:21:58.71;-67:57:26.6;Dor;1.20;1.20;;;;2126;
NGC1936;EmN;05:22:13.96;-67:58:41.9;Dor;1.00;1.00;;11.60;;2127;
NGC1937;*Ass;05:22:29.16;-67:53:40.8;Dor;3.20;2.00;70;;;;
NGC1938;GCl;05:21:24.71;-69:56:21.8;Men;0.90;0.80;90;13.09;;;
NGC1939;GCl;05:21:26.61;-69:56:59.1;Men;1.40;1.30;80;11.83;;;
NGC1940;GCl;05:22:43.74;-67:11:11.6;Dor;1.20;1.20;;11.91;;;
NGC1941;Cl+N;05:23:07.70;-66:22:43.1;Dor;0.90;0.80;100;12.00;;;
NGC1942;OCl;05:24:44.54;-63:56:31.6;Dor;1.90;1.90;;13.46;;;
NGC1943;GCl;05:22:28.74;-70:09:17.5;Men;1.10;1.00;140;11.88;;;
NGC1944;GCl;05:21:57.43;-72:29:38.7;Men;2.70;2.70;;11.84;;;
NGC1945;EmN;05:24:54.96;-66:27:26.9;Dor;10.00;6.00;60;;;;
NGC1946;OCl;05:25:16.38;-66:23:40.4;Dor;1.00;0.90;130;12.62;;;
NGC1947;G;05:26:47.61;-63:45:36.1;Dor;3.48;3.18;89;10.80;;;
NGC1948;Cl+N;05:25:46.24;-66:16:00.5;Dor;7.00;5.70;30;10.61;;;
NGC1949;Neb;05:25:04.83;-68:28:21.1;Dor;0.95;0.90;100;12.39;;;
NGC1950;OCl;05:24:32.99;-69:54:08.3;Men;1.70;1.70;;13.17;;;
NGC1951;OCl;05:26:06.82;-66:35:50.1;Dor;1.70;1.50;20;10.58;;;
NGC1952;SNR;05:34:31.97;+22:00:52.1;Tau;8.00;4.00;;8.40;;;
NGC1953;GCl;05:25:27.81;-68:50:17.9;Dor;1.20;1.20;;11.74;;;
NGC1954;G;05:32:48.33;-14:03:46.0;Lep;3.62;1.86;149;;;;
NGC1955;HII;05:26:09.96;-67:29:50.6;Dor;4.00;3.60;20;8.87;;;
NGC1956;G;05:19:35.32;-77:43:43.2;Men;1.75;0.95;64;;;;
NGC1957;G;05:32:55.20;-14:07:59.3;Lep;0.87;0.82;65;;;;
NGC1958;GCl;05:25:30.52;-69:50:12.4;Dor;1.50;1.50;;12.99;;;
NGC1959;OCl;05:25:36.63;-69:55:36.9;Men;1.60;1.60;;12.17;;;
NGC1960;OCl;05:36:17.74;+34:08:26.7;Aur;7.20;;;6.00;;;
NGC1961;G;05:42:04.65;+69:22:42.4;Cam;4.42;3.10;85;10.99;;2133;
NGC1962;OCl;05:26:17.73;-68:50:15.5;Dor;1.40;1.40;;11.47;;;
NGC1963;OCl;05:32:16.83;-36:23:55.1;Col;6.30;;;;;;
NGC1964;G;05:33:21.76;-21:56:44.8;Lep;5.16;2.33;31;10.81;;;
NGC1965;OCl;05:26:31.26;-68:48:19.7;Dor;1.20;1.10;;11.70;;;
NGC1966;OCl;05:26:45.84;-68:49:11.5;Dor;1.10;1.00;30;11.83;;;
NGC1967;OCl;05:26:43.31;-69:06:05.5;Dor;0.95;0.90;100;10.81;;;
NGC1968;*Ass;05:27:22.11;-67:27:49.8;Dor;5.00;2.70;70;8.22;;;
NGC1969;OCl;05:26:32.36;-69:50:28.9;Dor;1.20;1.20;;12.46;;;
NGC1970;OCl;05:26:52.67;-68:50:12.0;Dor;1.50;1.50;;10.28;;;
NGC1971;OCl;05:26:45.24;-69:51:05.8;Dor;1.10;0.95;0;11.90;;;
NGC1972;OCl;05:26:47.36;-69:50:18.0;Dor;0.90;0.80;100;12.62;;;
NGC1973;Neb;05:35:04.78;-04:43:54.4;Ori;5.00;5.00;;;;;
NGC1974;OCl;05:27:59.02;-67:25:26.9;Dor;1.60;1.60;;10.30;1991;;
NGC1975;Neb;05:35:17.88;-04:41:06.8;Ori;10.00;5.00;;;;;
NGC1976;Cl+N;05:35:16.48;-05:23:22.8;Ori;90.00;60.00;;4.00;;;Great Orion Nebula,Orion Nebula
NGC1977;Cl+N;05:35:15.80;-04:50:39.6;Ori;10.20;;;;;;the Running Man Nebula
NGC1978;GCl;05:28:45.13;-66:14:09.3;Dor;4.00;2.70;160;10.70;;;
NGC1979;G;05:34:01.11;-23:18:36.3;Lep;1.88;1.81;145;;;;
NGC1980;Cl+N;05:35:25.99;-05:54:35.6;Ori;9.30;;;2.50;;;Lower Sword
NGC1981;Cl+N;05:35:09.59;-04:25:30.2;Ori;9.00;;;4.20;;;Upper Sword
NGC1982;HII;05:35:31.38;-05:16:02.9;Ori;20.00;15.00;;9.00;;;Mairan's Nebula
NGC1983;OCl;05:27:44.25;-68:59:09.8;Dor;4.00;3.00;150;;;;
NGC1984;OCl;05:27:40.91;-69:08:03.6;Dor;1.50;1.20;60;9.99;;;
NGC1985;RfN;05:37:47.81;+31:59:19.8;Aur;0.68;0.68;;;;;
NGC1986;GCl;05:27:38.08;-69:58:25.1;Men;2.80;2.40;140;11.07;;;
NGC1987;GCl;05:27:17.15;-70:44:14.5;Men;1.70;1.70;90;;;;
NGC1988;*;05:37:26.49;+21:13:05.7;Tau;;;;;;;
NGC1989;G;05:34:23.42;-30:48:03.8;Col;1.72;1.18;93;;;;
NGC1990;*;05:36:12.82;-01:12:06.9;Ori;;;;1.69;;;Alnilam
NGC1991;Dup;05:27:59.02;-67:25:26.9;Dor;;;;;1974;;
NGC1992;G;05:34:31.77;-30:53:49.2;Col;1.22;0.69;51;;;;
NGC1993;G;05:35:25.57;-17:48:55.1;Lep;1.58;0.87;77;;;;
NGC1994;OCl;05:28:21.77;-69:08:30.6;Dor;1.60;1.50;170;;;;
NGC1995;**;05:33:03.34;-48:40:30.5;Pic;;;;;;;
NGC1996;OCl;05:38:18.88;+25:49:23.4;Tau;6.00;;;;;;
NGC1997;OCl;05:30:34.70;-63:11:58.3;Dor;1.80;1.80;;13.43;;;
NGC1998;G;05:33:15.76;-48:41:44.2;Pic;0.95;0.47;16;;;;
NGC1999;RfN;05:36:25.35;-06:42:57.1;Ori;2.00;2.00;;;;;
NGC2000;OCl;05:27:29.24;-71:52:45.8;Men;1.60;1.50;150;12.14;;;
NGC2001;*Ass;05:29:02.06;-68:46:09.4;Dor;7.30;3.60;40;;;;
NGC2002;GCl;05:30:20.70;-66:53:06.0;Dor;1.90;1.70;20;10.84;;;
NGC2003;GCl;05:30:55.20;-66:27:59.6;Dor;1.70;1.40;70;11.30;;;
NGC2004;GCl;05:30:42.75;-67:17:11.2;Dor;3.00;2.80;90;;;;
NGC2005;GCl;05:30:10.85;-69:45:08.7;Dor;1.60;1.60;;11.57;;;
NGC2006;*Ass;05:31:21.00;-66:57:55.0;Dor;1.60;1.40;140;10.88;;;
NGC2007;G;05:34:59.17;-50:55:18.1;Pic;1.53;0.51;81;;;;
NGC2008;G;05:35:03.81;-50:58:00.4;Pic;1.23;0.62;95;;;;
NGC2009;OCl;05:30:59.16;-69:10:54.0;Dor;1.40;1.20;10;11.02;;;
NGC2010;OCl;05:30:34.93;-70:49:10.8;Men;1.90;1.70;170;11.72;;;
NGC2011;OCl;05:32:20.21;-67:31:23.3;Dor;1.00;1.00;;10.58;;;
NGC2012;G;05:22:35.35;-79:51:06.5;Men;1.29;0.76;113;;;;
NGC2013;OCl;05:44:01.67;+55:47:36.9;Aur;;;;;;;
NGC2014;Neb;05:32:19.87;-67:41:23.4;Dor;5.10;3.50;60;8.97;;;
NGC2015;*Ass;05:32:06.49;-69:14:34.9;Dor;4.70;4.00;110;10.43;;;
NGC2016;OCl;05:31:38.82;-69:56:45.1;Men;1.80;1.80;;;;;
NGC2017;OCl;05:39:16.31;-17:50:54.6;Lep;5.00;;;;;;
NGC2018;HII;05:31:24.89;-71:04:08.6;Men;2.80;1.70;170;10.89;;;
NGC2019;GCl;05:31:56.66;-70:09:34.5;Men;1.50;1.50;;10.86;;;
NGC2020;EmN;05:33:12.59;-67:42:57.2;Dor;3.20;3.90;50;;;;
NGC2021;OCl;05:33:30.67;-67:27:10.4;Dor;0.90;0.90;;12.06;;;
NGC2022;PN;05:42:06.21;+09:05:11.5;Ori;0.32;;;11.60;;;
NGC2023;RfN;05:41:38.39;-02:15:32.5;Ori;10.00;8.00;;;;;
NGC2024;Neb;05:41:42.57;-01:51:22.6;Ori;30.00;30.00;;;;;
NGC2025;OCl;05:32:33.64;-71:42:55.8;Men;1.90;1.90;;10.94;;;
NGC2026;OCl;05:43:10.15;+20:08:20.0;Tau;4.20;;;;;;
NGC2027;OCl;05:34:59.71;-66:54:58.7;Dor;4.60;2.80;100;10.97;;;
NGC2028;OCl;05:33:48.57;-69:57:06.5;Men;1.10;1.00;60;12.88;;;
NGC2029;OCl;05:35:40.66;-66:02:06.0;Dor;1.10;0.85;60;12.29;;;
NGC2030;HII;05:34:59.74;-67:33:22.9;Dor;1.70;1.70;;12.29;;;
NGC2031;GCl;05:33:41.82;-70:59:12.4;Men;3.30;2.80;150;10.83;;;
NGC2032;HII;05:35:20.62;-67:34:06.4;Dor;2.80;1.40;30;;;;
NGC2033;*Ass;05:34:30.70;-69:46:48.5;Dor;5.90;4.60;10;11.63;;;
NGC2034;*Ass;05:35:32.77;-66:54:13.1;Dor;4.50;3.20;;;;;
NGC2035;Neb;05:35:31.20;-67:35:03.0;Dor;1.80;1.30;20;10.99;;;
NGC2036;OCl;05:34:31.39;-70:03:51.7;Men;1.60;1.60;;12.77;;;
NGC2037;OCl;05:35:00.63;-69:43:53.7;Dor;2.90;1.30;170;10.31;;;
NGC2038;OCl;05:34:42.27;-70:33:46.6;Men;1.60;1.50;120;11.92;;;
NGC2039;Other;05:44:00.91;+08:41:27.8;Ori;;;;;;;
NGC2040;Neb;05:36:05.93;-67:34:06.8;Dor;2.10;1.70;160;11.47;;;
NGC2041;GCl;05:36:28.05;-66:59:23.2;Dor;2.60;2.60;;10.36;;;
NGC2042;OCl;05:36:09.58;-68:55:24.4;Dor;4.50;4.50;;9.58;;;
NGC2043;OCl;05:35:57.18;-70:04:27.9;Men;0.65;0.55;120;;;;
NGC2044;*Ass;05:36:06.18;-69:11:55.2;Dor;5.50;4.50;100;10.59;;;
NGC2045;*;05:45:01.30;+12:53:18.1;Tau;;;;6.46;;;
NGC2046;OCl;05:35:37.53;-70:14:26.5;Men;1.10;1.00;110;12.64;;;
NGC2047;OCl;05:35:52.99;-70:11:33.6;Men;0.95;0.90;90;13.15;;;
NGC2048;EmN;05:35:55.59;-69:38:54.7;Dor;1.40;1.00;100;12.17;;;
NGC2049;G;05:43:15.31;-30:04:42.2;Col;2.14;0.97;167;;;;
NGC2050;*Ass;05:36:38.82;-69:23:00.7;Dor;3.00;2.40;70;9.25;;;
NGC2051;OCl;05:36:07.34;-71:00:41.0;Men;1.50;1.50;;11.69;;;
NGC2052;Neb;05:37:11.05;-69:46:27.1;Dor;18.00;12.00;;;;;
NGC2053;OCl;05:37:39.70;-67:24:46.5;Dor;1.50;1.30;10;12.18;;;
NGC2054;Other;05:45:15.38;-10:04:59.3;Ori;;;;;;;
NGC2055;*Ass;05:36:44.73;-69:29:55.1;Dor;1.90;1.30;120;8.39;;;
NGC2056;OCl;05:36:33.97;-70:40:18.8;Men;1.50;1.50;;11.77;;;
NGC2057;OCl;05:36:55.14;-70:16:08.2;Men;1.30;1.20;20;12.17;;;
NGC2058;OCl;05:36:54.22;-70:09:44.1;Men;2.10;2.10;;11.85;;;
NGC2059;OCl;05:37:00.55;-70:07:44.5;Men;1.10;1.00;170;12.85;;;
NGC2060;SNR;05:37:46.90;-69:10:18.0;Dor;2.20;2.00;160;9.59;;;
NGC2061;OCl;05:42:41.77;-34:00:34.3;Col;;;;;;;
NGC2062;OCl;05:40:02.70;-66:52:32.7;Dor;1.20;1.10;20;12.67;;;
NGC2063;Other;05:46:43.03;+08:46:52.0;Ori;;;;;;;
NGC2064;RfN;05:46:18.39;+00:00:21.4;Ori;10.00;10.00;;;;;
NGC2065;OCl;05:37:38.42;-70:14:11.3;Men;2.30;2.30;;11.24;;;
NGC2066;OCl;05:37:43.12;-70:09:59.6;Men;1.00;0.90;140;13.10;;;
NGC2067;RfN;05:46:31.88;+00:07:52.5;Ori;8.00;3.00;;;;;
NGC2068;RfN;05:46:45.82;+00:04:45.5;Ori;4.50;;;8.00;;;
NGC2069;Neb;05:38:46.44;-68:58:27.8;Dor;5.00;2.20;30;10.10;;;
NGC2070;HII;05:38:42.36;-69:06:03.2;Dor;16.00;16.00;;7.25;;;30 Dor Cluster,Tarantula Nebula
NGC2071;Cl+N;05:47:07.26;+00:17:39.3;Ori;7.00;5.00;;;;;
NGC2072;OCl;05:38:24.39;-70:14:02.6;Men;1.00;0.90;110;13.21;;;
NGC2073;G;05:45:53.91;-21:59:56.9;Lep;1.44;1.38;110;;;;
NGC2074;Cl+N;05:39:03.58;-69:29:53.2;Dor;4.00;3.40;50;;;;
NGC2075;Cl+N;05:38:21.35;-70:41:06.1;Men;2.20;1.80;30;11.47;;;
NGC2076;G;05:46:47.46;-16:46:57.4;Lep;2.52;1.50;44;;;;
NGC2077;Neb;05:39:36.02;-69:39:25.6;Dor;1.30;1.30;;11.71;;;
NGC2078;EmN;05:39:39.45;-69:44:35.4;Dor;1.20;1.10;0;10.89;;;
NGC2079;HII;05:39:37.60;-69:45:25.9;Dor;1.10;0.95;160;11.81;;;
NGC2080;HII;05:39:45.82;-69:38:38.8;Dor;1.70;1.50;130;10.42;;;
NGC2081;Cl+N;05:39:59.39;-69:24:21.2;Dor;8.50;6.00;70;;;;
NGC2082;G;05:41:51.12;-64:18:04.1;Dor;2.06;1.86;50;;;;
NGC2083;Neb;05:39:59.22;-69:44:15.3;Dor;2.00;1.80;70;10.83;;;
NGC2084;Neb;05:40:07.00;-69:45:33.9;Dor;1.70;1.20;40;;;;
NGC2085;Neb;05:40:09.83;-69:40:22.1;Dor;0.95;0.95;;12.06;;;
NGC2086;Neb;05:40:12.88;-69:40:04.3;Dor;0.85;0.80;70;12.00;;;
NGC2087;G;05:44:16.03;-55:31:56.8;Pic;0.81;0.59;133;;;;
NGC2088;OCl;05:40:59.81;-68:27:55.3;Dor;1.50;1.40;10;12.47;;;
NGC2089;G;05:47:51.43;-17:36:08.6;Lep;2.20;1.08;42;;;;
NGC2090;G;05:47:01.89;-34:15:02.2;Col;4.47;1.67;17;11.20;;;
NGC2091;OCl;05:40:58.04;-69:26:13.5;Dor;1.30;1.20;80;12.07;;;
NGC2092;OCl;05:41:22.00;-69:13:27.2;Dor;1.00;0.90;90;;;;
NGC2093;*Ass;05:41:49.74;-68:55:17.1;Dor;1.50;1.30;170;11.57;;;
NGC2094;OCl;05:42:12.75;-68:55:06.8;Dor;0.90;0.55;100;;;;
NGC2095;OCl;05:42:36.16;-67:19:08.0;Dor;1.50;1.40;140;13.09;;;
NGC2096;OCl;05:42:17.80;-68:27:31.0;Dor;1.10;0.90;160;11.31;;;
NGC2097;GCl;05:44:16.02;-62:47:08.2;Dor;1.90;1.90;;13.67;;;
NGC2098;OCl;05:42:31.03;-68:16:23.4;Dor;2.20;2.00;140;10.73;;;
NGC2099;OCl;05:52:18.35;+32:33:10.8;Aur;11.40;;;5.60;;;
NGC2100;GCl;05:42:09.07;-69:12:42.6;Dor;2.50;2.50;;;;;
NGC2101;G;05:46:24.17;-52:05:18.7;Pic;1.24;0.65;94;;;;
NGC2102;OCl;05:42:20.49;-69:29:13.5;Dor;0.85;0.85;;11.44;;;
NGC2103;HII;05:41:40.35;-71:19:59.3;Men;4.00;3.50;40;10.82;;;
NGC2104;G;05:47:04.73;-51:33:10.5;Pic;2.12;0.91;162;;;;
NGC2105;GCl;05:44:19.18;-66:55:03.4;Dor;1.70;1.50;160;12.19;;;
NGC2106;G;05:50:46.63;-21:34:02.1;Lep;2.43;1.22;106;;;;
NGC2107;OCl;05:43:12.88;-70:38:23.8;Men;1.70;1.70;;11.51;;;
NGC2108;GCl;05:43:56.87;-69:10:55.6;Dor;1.80;1.80;;12.32;;;
NGC2109;OCl;05:44:22.92;-68:32:52.1;Dor;1.60;1.60;;12.21;;;
NGC2110;G;05:52:11.38;-07:27:22.4;Ori;1.83;1.45;175;13.51;;;
NGC2111;OCl;05:44:32.99;-70:59:35.7;Men;1.50;1.40;60;12.45;;;
NGC2112;OCl;05:53:45.21;+00:24:38.9;Ori;21.00;;;9.10;;;
NGC2113;Cl+N;05:45:24.57;-69:46:27.0;Dor;1.10;1.10;;;;;
NGC2114;OCl;05:46:12.11;-68:02:53.9;Dor;1.40;1.20;30;12.48;;;
NGC2115A;G;05:51:19.82;-50:34:58.3;Pic;1.21;1.06;59;;;;
NGC2115B;G;05:51:21.21;-50:35:33.0;Pic;0.57;0.47;43;;;;
NGC2116;OCl;05:47:15.16;-68:30:28.6;Dor;1.20;1.10;160;12.92;;;
NGC2117;OCl;05:47:45.92;-67:27:00.6;Dor;2.00;1.80;90;11.65;;;
NGC2118;OCl;05:47:39.57;-69:07:54.6;Dor;1.60;1.60;;13.38;;;
NGC2119;G;05:57:26.95;+11:56:57.1;Ori;1.26;0.99;145;;;;
NGC2120;GCl;05:50:34.61;-63:40:39.4;Dor;2.20;2.20;;12.67;;;
NGC2121;GCl;05:48:12.84;-71:28:47.2;Men;2.70;2.20;30;12.37;;;
NGC2122;Cl+N;05:48:52.51;-70:04:12.3;Men;6.00;5.00;50;10.43;;;
NGC2123;GCl;05:51:43.32;-65:19:17.3;Dor;1.50;1.50;;12.56;;;
NGC2124;G;05:57:52.23;-20:05:04.7;Lep;2.84;0.81;4;;;;
NGC2125;OCl;05:50:54.23;-69:28:44.9;Dor;1.10;1.10;;;;;
NGC2126;OCl;06:02:32.98;+49:51:57.3;Aur;5.40;;;;;;
NGC2127;OCl;05:51:21.28;-69:21:32.6;Dor;1.50;1.50;;11.64;;;
NGC2128;G;06:04:34.23;+57:37:39.9;Cam;1.44;1.01;63;;;;
NGC2129;OCl;06:01:06.54;+23:19:19.8;Gem;3.90;;;6.70;;;
NGC2130;GCl;05:52:23.72;-67:20:02.8;Dor;1.40;1.30;160;12.10;;;
NGC2131;G;05:58:47.52;-26:39:10.8;Lep;1.16;0.49;119;;;;
NGC2132;OCl;05:55:44.32;-59:55:39.8;Pic;7.80;;;;;;
NGC2133;OCl;05:51:28.72;-71:10:30.1;Men;1.60;1.60;;;;;
NGC2134;GCl;05:51:57.70;-71:05:51.3;Men;2.80;2.80;;;;;
NGC2135;GCl;05:53:35.43;-67:25:46.3;Dor;1.50;1.50;;12.05;;;
NGC2136;GCl;05:52:57.75;-69:29:33.9;Dor;2.80;2.50;140;10.70;;;
NGC2137;OCl;05:53:13.15;-69:28:55.1;Dor;1.10;1.00;30;12.66;;;
NGC2138;GCl;05:54:50.18;-65:50:13.6;Dor;1.20;1.20;;13.76;;;
NGC2139;G;06:01:07.81;-23:40:21.5;Lep;2.94;2.16;124;11.71;;2154;
NGC2140;OCl;05:54:16.18;-68:35:59.4;Dor;1.50;1.50;;12.44;;;
NGC2141;OCl;06:02:55.06;+10:26:47.3;Ori;5.40;;;9.40;;;
NGC2142;*;06:01:50.43;-10:35:52.6;Mon;;;;4.94;;;
NGC2143;OCl;06:03:01.56;+05:49:52.6;Ori;6.90;;;;;;
NGC2144;G;05:40:57.19;-82:07:09.8;Men;1.46;1.15;86;;;;
NGC2145;OCl;05:54:23.06;-70:54:03.7;Men;1.50;1.50;;12.07;;;
NGC2146;G;06:18:37.71;+78:21:25.3;Cam;5.31;4.32;123;10.59;;;
NGC2146A;G;06:23:55.20;+78:31:48.4;Cam;2.72;1.10;32;12.87;;;
NGC2147;OCl;05:55:45.60;-68:12:05.7;Dor;0.95;0.95;;12.94;;;
NGC2148;G;05:58:45.85;-59:07:33.4;Pic;1.17;0.82;157;;;;
NGC2149;RfN;06:03:30.79;-09:43:50.1;Mon;3.00;2.00;;;;;
NGC2150;G;05:55:46.34;-69:33:38.9;Dor;1.15;0.61;130;14.32;;;
NGC2151;OCl;05:56:20.44;-69:01:02.5;Dor;1.30;1.30;;;;;
NGC2152;G;06:00:55.29;-50:44:27.3;Pic;1.12;0.77;71;;;;
NGC2153;GCl;05:57:51.72;-66:24:02.4;Dor;1.50;1.50;;13.05;;;
NGC2154;GCl;05:57:37.49;-67:15:49.6;Dor;2.40;2.40;;11.79;;;
NGC2155;GCl;05:58:33.21;-65:28:35.3;Dor;2.40;2.40;;12.60;;;
NGC2156;GCl;05:57:49.68;-68:27:38.9;Dor;2.10;2.10;;11.38;;;
NGC2157;GCl;05:57:34.78;-69:11:50.0;Dor;2.80;2.80;;10.16;;;
NGC2158;OCl;06:07:25.61;+24:05:46.2;Gem;8.40;;;8.60;;;
NGC2159;GCl;05:58:03.88;-68:37:22.5;Dor;1.90;1.90;;11.38;;;
NGC2160;OCl;05:58:12.84;-68:17:22.5;Dor;1.40;1.40;;12.16;;;
NGC2161;GCl;05:55:43.06;-74:21:14.2;Men;2.30;2.30;;12.95;;;
NGC2162;GCl;06:00:30.17;-63:43:17.2;Dor;3.00;3.00;;12.70;;;
NGC2163;RfN;06:07:49.54;+18:39:26.8;Ori;3.00;2.00;;;;;
NGC2164;GCl;05:58:56.26;-68:30:57.2;Dor;2.80;2.80;;10.34;;;
NGC2165;OCl;06:11:04.21;+51:40:38.3;Aur;;;;;;;
NGC2166;OCl;05:59:34.14;-67:56:32.4;Dor;1.40;1.40;;12.86;;;
NGC2167;*;06:06:58.56;-06:12:09.5;Mon;;;;6.58;;;
NGC2168;OCl;06:09:05.06;+24:20:19.1;Gem;24.00;;;5.10;;;
NGC2169;OCl;06:08:24.35;+13:57:53.5;Ori;7.20;;;5.90;;;
NGC2170;RfN;06:07:31.82;-06:23:57.5;Mon;2.00;2.00;;;;;
NGC2171;Other;05:58:59.64;-70:43:08.8;Men;;;;;;;
NGC2172;OCl;06:00:05.84;-68:38:12.9;Dor;1.70;1.70;;11.75;;;
NGC2173;GCl;05:57:58.88;-72:58:28.3;Men;2.60;2.60;;11.88;;;
NGC2174;Neb;06:09:23.62;+20:39:34.5;Ori;40.00;30.00;;;;;Monkey Head Nebula
NGC2175;Cl+N;06:09:39.55;+20:29:15.3;Ori;5.40;;;6.80;;;
NGC2176;OCl;06:01:19.38;-66:51:11.7;Dor;1.10;1.00;20;;;;
NGC2177;OCl;06:01:16.49;-67:43:59.7;Dor;1.50;1.40;160;12.83;;;
NGC2178;G;06:02:47.58;-63:45:49.3;Pic;1.27;1.00;73;;;;
NGC2179;G;06:08:02.22;-21:44:48.1;Lep;1.99;1.44;165;12.45;;;
NGC2180;OCl;06:09:36.25;+04:42:41.8;Ori;4.20;;;;;;
NGC2181;GCl;06:02:43.66;-65:15:53.5;Dor;1.50;1.50;;13.64;;;
NGC2182;RfN;06:09:30.95;-06:19:35.2;Mon;3.00;2.00;;;;;
NGC2183;HII;06:10:46.93;-06:12:42.6;Mon;12.00;;;;;;
NGC2184;OCl;06:10:59.67;-03:29:42.6;Ori;6.60;;;;;;
NGC2185;Neb;06:11:00.47;-06:13:36.7;Mon;2.00;2.00;;;;;
NGC2186;OCl;06:12:07.13;+05:27:30.9;Ori;4.20;;;8.70;;;
NGC2187A;G;06:03:44.25;-69:35:17.9;Dor;3.52;1.66;75;;;;
NGC2187B;G;06:03:52.42;-69:34:38.8;Dor;2.67;2.18;87;;;;
NGC2188;G;06:10:09.53;-34:06:22.3;Col;5.42;1.33;177;11.82;;;
NGC2189;Other;06:12:09.99;+01:03:57.5;Ori;;;;;;;
NGC2190;GCl;06:01:01.79;-74:43:31.5;Men;2.20;2.20;;12.94;;;
NGC2191;G;06:08:23.87;-52:30:44.3;Pic;1.77;0.86;122;;;;
NGC2192;OCl;06:15:17.43;+39:51:18.8;Aur;5.40;;;10.90;;;
NGC2193;GCl;06:06:17.52;-65:05:55.6;Dor;1.70;1.70;;13.42;;;
NGC2194;OCl;06:13:45.91;+12:48:24.0;Ori;8.70;;;8.50;;;
NGC2195;**;06:14:33.81;+17:38:21.8;Ori;;;;;;;
NGC2196;G;06:12:09.65;-21:48:21.4;CMa;2.77;2.16;45;;;;
NGC2197;GCl;06:06:07.31;-67:05:50.0;Dor;1.80;1.60;80;13.45;;;
NGC2198;Other;06:13:54.91;+00:59:40.8;Ori;;;;;;;
NGC2199;G;06:04:44.95;-73:23:59.4;Men;2.21;0.88;38;;;;
NGC2200;G;06:13:17.58;-43:39:47.4;Pup;1.21;0.94;168;;;;
NGC2201;G;06:13:31.61;-43:42:17.0;Pup;1.03;0.72;111;;;;
NGC2202;OCl;06:16:50.75;+05:59:46.2;Ori;4.80;;;;;;
NGC2203;GCl;06:04:42.55;-75:26:18.3;Men;3.20;3.20;;11.29;;;
NGC2204;OCl;06:15:32.22;-18:39:57.1;CMa;6.30;;;8.60;;;
NGC2205;G;06:10:32.73;-62:32:18.3;Pic;1.30;0.99;77;;;;
NGC2206;G;06:15:59.84;-26:45:55.7;CMa;2.45;1.07;136;;;;
NGC2207;G;06:16:22.03;-21:22:21.6;CMa;4.86;2.71;116;10.65;;;
NGC2208;G;06:22:34.68;+51:54:34.1;Aur;1.73;1.00;107;12.61;;;
